id,name,mbid,error_type,details,timestamp
3285,久石譲,44c64a30-1d58-49c5-b314-6e02fba49526,spotify_correction,New ID: 7nzSoJISlVJsn7O0yTeMOB,2026-02-13T20:47:25.558174
160,Björk,87c5dedd-371d-4a53-9f7f-80522fb7f3cb,spotify_ignored,MB suggested zombie profile (Pop: 23 vs Current: 69),2026-02-13T20:47:32.804011
222,Charli xcx,260b6184-8828-48eb-945c-bc4cb6fc34ca,spotify_ignored,MB suggested zombie profile (Pop: 13 vs Current: 82),2026-02-13T20:48:22.678219
1244,宇宙ネコ子,4ad2d0bd-45f8-4d20-9bb0-db371a7b281b,spotify_correction,New ID: 35g4Ie8VY4tLn4GzSPZobz,2026-02-13T20:51:42.809816
181,Ye,164f0d73-1234-4e2c-8743-d77bf2191051,spotify_ignored,MB suggested zombie profile (Pop: 57 vs Current: 90),2026-02-13T20:52:19.879811
68,Godspeed You! Black Emperor,3648db01-b29d-4ab9-835c-83f6a5068fe4,spotify_correction,New ID: 4svpOyfmQKuWpHLjgy4cdK,2026-02-13T20:53:35.773837
1635,BAP,70261540-4efc-4f62-8573-fdb68d6c2213,spotify_ignored,MB suggested zombie profile (Pop: 29 vs Current: 44),2026-02-13T20:54:22.623811
116,death’s dynamic shroud,e294d11b-fc47-41a9-b38b-3205c34d17ba,spotify_ignored,MB suggested zombie profile (Pop: 1 vs Current: 32),2026-02-13T20:54:37.956665
291,Cindy Lee,a7537f5b-ef6f-424e-9f4d-9b990cb8866f,spotify_correction,New ID: 0TZExq5Dma8hecEIAKwQYA,2026-02-13T20:55:26.471726
264,ODD EYE CIRCLE,dec0f331-cb08-4c8e-9c9f-aeb1f0f6d88c,spotify_ignored,MB suggested zombie profile (Pop: 6 vs Current: 39),2026-02-13T20:55:43.758728
1770,yandere,af35bcf4-7cab-45b8-bd30-1d81eb0c440b,spotify_ignored,MB suggested zombie profile (Pop: 0 vs Current: 34),2026-02-13T20:57:59.789530
1396,阿保剛,c96413df-f4cb-4231-bfa0-8e70c25742ef,spotify_correction,New ID: 5bFP2SJgMM1Yc50OKmVP8q,2026-02-13T20:58:48.515472
3121,Chief Keef,9118f524-be76-4eaf-875c-ccf15e2a2ad6,spotify_correction,New ID: 15iVAtD3s3FsQR4w1v6M0P,2026-02-13T20:59:22.244660
1308,うたたP,1844d492-68ac-43a5-93dc-9adcdab246c0,spotify_ignored,MB suggested zombie profile (Pop: 1 vs Current: 28),2026-02-13T20:59:45.478374
2956,Wet Wet Wet,45bbfc68-2523-49e4-96f7-d7d1c3d41aac,spotify_correction,New ID: 2u0gw0uCWBMiqV7h0N8kai,2026-02-13T20:59:54.660878
1937,PR1SVX,5eb8ede6-4972-4948-bd74-dba5cbb7161b,spotify_correction,New ID: 0QdSoQy4EwwOACmhZobTQu,2026-02-13T21:00:28.994301
2019,NCT,0eb3a5c2-5716-48d8-8c3a-f976f58a4c19,spotify_ignored,MB suggested zombie profile (Pop: 36 vs Current: 51),2026-02-13T21:02:14.211124
42,Black Kray,030cf5e5-b5d8-4a66-a291-0a7fe4b4b075,spotify_ignored,MB suggested zombie profile (Pop: 5 vs Current: 49),2026-02-13T21:02:30.293112
3216,HM Surf,99905c35-b758-4677-a56a-4ec907d2b448,spotify_ignored,MB suggested zombie profile (Pop: 0 vs Current: 54),2026-02-13T21:03:11.950744
80,Playboi Carti,2baf3276-ed6a-4349-8d2e-f4601e7b2167,spotify_ignored,MB suggested zombie profile (Pop: 0 vs Current: 86),2026-02-13T21:03:17.559122
244,Prince,070d193a-845c-479f-980e-bef15710653e,spotify_ignored,MB suggested zombie profile (Pop: 0 vs Current: 75),2026-02-13T21:03:22.985809
2603,Halberd,2af87143-5f42-4dbc-a16e-2b2cdf49142f,spotify_ignored,MB suggested zombie profile (Pop: 3 vs Current: 41),2026-02-13T21:04:42.213098
2224,Simon & Garfunkel,5d02f264-e225-41ff-83f7-d9b1f0b1874a,spotify_ignored,MB suggested zombie profile (Pop: 0 vs Current: 69),2026-02-13T21:06:44.989417
1477,Koto,b991e4ea-5c8e-4e92-98a9-d55ce5a9a59c,spotify_correction,New ID: 03Qx8J2OxTAGgZqZ4rnaB0,2026-02-13T21:07:17.791866
1536,maNga,7bbc4879-a8c0-485d-a297-20174ddcb2b3,spotify_correction,New ID: 7rEIUw67hRTgievwuKQGSj,2026-02-13T21:07:24.497139
2438,Michael Sembello,fcde7037-181e-437f-9417-60a38958c0fa,spotify_ignored,MB suggested zombie profile (Pop: 1 vs Current: 61),2026-02-13T21:08:20.970724
505,Brian Eno,ff95eb47-41c4-4f7f-a104-cdc30f02e872,spotify_ignored,MB suggested zombie profile (Pop: 10 vs Current: 60),2026-02-13T21:09:47.412926
1828,Yuuri,387bd91c-45c2-4c83-896e-fe4bd1a6907b,spotify_ignored,MB suggested zombie profile (Pop: 0 vs Current: 66),2026-02-13T21:10:03.195169
161,Sigur Rós,f6f2326f-6b25-4170-b89d-e235b25508e8,spotify_ignored,MB suggested zombie profile (Pop: 0 vs Current: 57),2026-02-13T21:10:57.871750
1864,Hus Kingpin,7f465d8b-89e8-4cbb-aa1f-6921ef2935aa,spotify_ignored,MB suggested zombie profile (Pop: 31 vs Current: 45),2026-02-13T21:11:37.073012
2532,Ikon,ad7b6571-9832-4aa1-8e58-d345d9ee06c0,spotify_ignored,MB suggested zombie profile (Pop: 2 vs Current: 57),2026-02-13T21:12:39.397507
391,Mike Oldfield,a1684a49-feaa-4150-b758-d9412fc59f12,spotify_ignored,MB suggested zombie profile (Pop: 58 vs Current: 61),2026-02-13T21:13:00.529675
1648,Lyn,4c9a6b5d-a631-4c28-9c3c-67f4dd2f9845,spotify_ignored,MB suggested zombie profile (Pop: 50 vs Current: 60),2026-02-13T21:16:32.151019
357,Yves Montand,edd6a7c3-d174-4e5b-9134-0f0cc6e2b0a5,spotify_ignored,MB suggested zombie profile (Pop: 45 vs Current: 56),2026-02-13T21:17:37.504431
3296,Smoke Trees,c0f3b0a2-b2f4-4c30-8271-3116d8165e83,spotify_ignored,MB suggested zombie profile (Pop: 0 vs Current: 36),2026-02-13T21:17:39.861245
3253,Psalm Trees,8e5038b0-f71f-4951-aa26-542cdfe9280a,spotify_ignored,MB suggested zombie profile (Pop: 0 vs Current: 44),2026-02-13T21:18:30.785862
3381,flavors,54719693-9669-4933-a45d-41c374174852,spotify_ignored,MB suggested zombie profile (Pop: 1 vs Current: 37),2026-02-13T21:19:56.258792
1842,Daveed Diggs,6561ffe8-0c1f-452b-8501-abe229e01bc7,spotify_correction,New ID: 3twuAojvYNrlWZpMkxLm3P,2026-02-13T21:20:02.155840
577,Imogen Heap,328d146c-79f1-4eb6-9e40-8ee5710c14e5,spotify_ignored,MB suggested zombie profile (Pop: 1 vs Current: 76),2026-02-13T21:20:15.693097
75,Beyoncé,859d0860-d480-4efd-970c-c05d5f1776b8,spotify_ignored,MB suggested zombie profile (Pop: 0 vs Current: 84),2026-02-13T21:20:31.311981
225,Saetia,cd4f7c44-9ff3-4660-9f93-170fef83edfd,spotify_correction,New ID: 5piONaqFh85tIjxSQgZuWA,2026-02-13T21:20:43.173540
3076,Max Roach,0b6aea55-d855-4a33-ae08-b0280dd28684,spotify_ignored,MB suggested zombie profile (Pop: 44 vs Current: 61),2026-02-13T21:23:03.013802
2843,武部聡志,e29e0432-6058-4efd-8bbe-bc40a1f020f6,spotify_correction,New ID: 1Ku94gYRpDuZmcGMqqQM6E,2026-02-13T21:24:16.567357
408,Gaelle,6371fda7-30b9-4d47-92d4-315843fe0227,spotify_correction,New ID: 1uN3byO6WUB2dSDg6XpsEw,2026-02-13T21:25:07.477811
364,Ludwig van Beethoven,1f9df192-a621-4f54-8850-2c5373b7eac9,spotify_correction,New ID: 1xND0lwT99g4IFt68TmAnK,2026-02-13T21:26:06.055712
2774,Hannah Montana,e25744d3-ec9f-4bbf-8760-7bd3370906ea,spotify_ignored,MB suggested zombie profile (Pop: 25 vs Current: 63),2026-02-13T21:27:37.218851
2896,MARINA,7f3d82ee-3817-4367-9eec-f33a312247a1,spotify_ignored,MB suggested zombie profile (Pop: 0 vs Current: 73),2026-02-13T21:27:59.154908
3613,invention_,3f1f7d94-e5c5-4ef9-a14f-4542ba609963,spotify_ignored,MB suggested zombie profile (Pop: 0 vs Current: 38),2026-02-13T21:28:01.395695
4394,Loona,cb525a30-b590-448f-b94d-fab86e0e8756,spotify_correction,New ID: 7ugN9bU7x54gVI2295brJF,2026-02-13T21:28:50.348431
3485,Saiko,00a8bf3d-acbc-4e17-8e07-ab5d3ae550e8,spotify_correction,New ID: 6YgPVbrxWFP9dnp8dsqDry,2026-02-13T21:29:17.089304
3162,takeo,86624642-f75c-4c45-8850-b16c55e69a49,spotify_correction,New ID: 3MPp5u3D5zzyYaAT9qFpTV,2026-02-13T21:31:02.018768
1609,いとうかなこ,eee65fbc-ead0-4c01-b385-a6f563c418d3,spotify_correction,New ID: 1ioBqDTNhnBVubB4ceQ7AI,2026-02-13T21:31:19.204817
2773,Pastor Troy,a016df3e-736e-415d-8026-d4c15552bbc1,spotify_ignored,MB suggested zombie profile (Pop: 46 vs Current: 58),2026-02-13T21:31:59.843182
906,Sora! Sora!,c21e11d3-007c-40f7-bfca-ba308929ef66,spotify_ignored,MB suggested zombie profile (Pop: 6 vs Current: 21),2026-02-13T21:32:05.334657
1686,平野綾,dfe0486a-d8f7-449a-a1ce-192803b3b537,spotify_ignored,MB suggested zombie profile (Pop: 27 vs Current: 37),2026-02-13T21:32:37.812493
3178,goosetaf,a0f336e8-7589-43d7-bbec-5a01cfa62869,spotify_ignored,MB suggested zombie profile (Pop: 5 vs Current: 46),2026-02-13T21:32:39.984879
3046,WYS,c441f8bb-f537-485d-8c62-09e782d860ae,spotify_ignored,MB suggested zombie profile (Pop: 0 vs Current: 52),2026-02-13T21:33:06.413224
3265,TESK,596a1dcf-704d-45fc-a167-93aed95a033d,spotify_ignored,MB suggested zombie profile (Pop: 0 vs Current: 38),2026-02-13T21:33:15.147253
4372,Various Artists,89ad4ac3-39f7-470e-963a-56509c546377,spotify_correction,New ID: 0LyfQWJT6nXafLPZqxe9Of,2026-02-13T21:35:10.135823
2433,Luci4,917220a7-bd52-432c-b167-8da78c27b299,spotify_correction,New ID: 1CbA4z6JauNQnHzOErDQL6,2026-02-13T21:36:05.882279
1278,múm,2b64e811-cbcd-45f7-b29d-296444cad4f1,spotify_ignored,MB suggested zombie profile (Pop: 3 vs Current: 39),2026-02-13T21:36:23.601852
3490,GYVUS,0c2d6dc6-ec9e-418f-956b-4093ae71d53c,spotify_ignored,MB suggested zombie profile (Pop: 0 vs Current: 41),2026-02-13T21:37:13.191843
1841,Hallé Orchestra,e2e9da6e-de76-4a92-a9c7-347158d885df,spotify_ignored,MB suggested zombie profile (Pop: 47 vs Current: 50),2026-02-13T21:38:42.032892
3455,Abdullah Ibrahim,fd64e185-9973-44d5-ad09-5d5562804292,spotify_correction,New ID: 39mb0I6tdTcCXkeigvzxOJ,2026-02-13T21:40:28.106617
2343,Camille Saint‐Saëns,4137c070-15b2-4d00-a9f0-3517d02a9ba8,spotify_ignored,MB suggested zombie profile (Pop: 0 vs Current: 65),2026-02-13T21:41:08.441780
2695,MIRAE,2bbcb6ce-4303-4abe-8cab-eb7e66bb94be,spotify_ignored,MB suggested zombie profile (Pop: 24 vs Current: 55),2026-02-13T21:41:33.894583
863,Everyone Asked About You,3a05d825-813a-4a00-8b4d-bebfbb0a3241,spotify_ignored,MB suggested zombie profile (Pop: 0 vs Current: 47),2026-02-13T21:42:12.686537
2069,emon(Tes.),deb3ad6b-70e2-4f19-8811-6a620a6af2ca,spotify_ignored,MB suggested zombie profile (Pop: 13 vs Current: 31),2026-02-13T21:42:38.400274
1523,The Jacksons,e5257dc5-1edd-4fca-b7e6-1158e00522c8,spotify_ignored,MB suggested zombie profile (Pop: 0 vs Current: 67),2026-02-13T21:43:21.533660
3722,EstA,f99bdf7f-4e23-4e70-9b0c-5b5c26484b79,spotify_correction,New ID: 2H5RJPxjfOKonBVphYdRzG,2026-02-13T21:43:37.066124
2678,Lady A,0eedfc95-e79a-4fd9-832a-cd816a0b3fda,spotify_correction,New ID: 05jvFKxeaL4Wf3WL82wPra,2026-02-13T21:43:57.203175
3461,drwn.,c4baa8f3-ba21-4dd1-b988-a6b461c328b7,spotify_correction,New ID: 0h6JSIfoSSbXtaBWiUC4Wy,2026-02-13T21:45:30.224306
3693,Migos,0221734a-35a8-40f7-b5c5-2f61a200bc7c,spotify_ignored,MB suggested zombie profile (Pop: 1 vs Current: 75),2026-02-13T21:45:46.678795
2619,Loco Loco,e2b5e62e-7312-4fae-9048-1d40fac17ac5,spotify_ignored,MB suggested zombie profile (Pop: 30 vs Current: 62),2026-02-13T21:45:58.679303
4157,Sia,2f548675-008d-4332-876c-108b0c7ab9c5,spotify_correction,New ID: 5WUlDfRSoLAfcVSX1WnrxN,2026-02-13T21:46:40.663869
2778,Aly & AJ,fa4ad5f5-568e-498f-ba98-9ffc18e54ff3,spotify_ignored,MB suggested zombie profile (Pop: 5 vs Current: 53),2026-02-13T21:47:04.360176
3163,Hevi,b363c341-9089-4aec-9d3f-17dcabbf75c4,spotify_ignored,MB suggested zombie profile (Pop: 0 vs Current: 52),2026-02-13T21:47:26.509335
3588,Vanessa Hudgens,9da7ed18-20fa-4279-88c8-94299728236d,spotify_ignored,MB suggested zombie profile (Pop: 59 vs Current: 62),2026-02-13T21:47:38.888870
1854,Emray,97635c6a-0178-4827-924f-dda795c34820,spotify_ignored,MB suggested zombie profile (Pop: 0 vs Current: 28),2026-02-13T21:47:44.272925
2115,Fergie,1c46e82f-4764-4d82-a33b-5d5aee5e2881,spotify_ignored,MB suggested zombie profile (Pop: 20 vs Current: 69),2026-02-13T21:48:35.994272
2752,WOOSUNG,c71b2a13-6860-4a90-9f14-afb76ada208c,spotify_ignored,MB suggested zombie profile (Pop: 0 vs Current: 54),2026-02-13T21:49:27.753209
3505,joeshort,ee9424c1-8c80-4ff9-837d-df81b53ccd54,spotify_ignored,MB suggested zombie profile (Pop: 0 vs Current: 17),2026-02-13T21:51:55.139599
4281,[unknown],125ec42a-7229-4250-afc5-e057484327fe,spotify_correction,New ID: 2MpxaqGTQeft5RU4wvwm57,2026-02-13T21:52:13.519278
3115,lilac,8ef7b422-8bf8-4a45-9478-d36ead2a2050,spotify_ignored,MB suggested zombie profile (Pop: 25 vs Current: 44),2026-02-13T21:52:46.181263
2407,Mark Knopfler,e49f69da-17d5-4c5c-bac0-dadcb0e588f5,spotify_correction,New ID: 0FI0kxP0BWurTz8cB8BBug,2026-02-13T21:55:55.888939
4270,Asta,3d85f3cf-21ca-407e-a8a2-955da2f20c3c,spotify_correction,New ID: 3cmUhYaAl8ZVz3coS1T3VC,2026-02-13T21:56:19.569236
3649,Kreambeat,cccef8b5-46c0-437a-a4aa-086bbeafdf7b,spotify_correction,New ID: 6NX5Cv1MQv5yAsAyQYiCUZ,2026-02-13T21:57:45.608891
2729,YuA,6684eea4-16c2-4469-b869-4753b19885b1,spotify_ignored,MB suggested zombie profile (Pop: 2 vs Current: 41),2026-02-13T21:58:28.123435
1921,Mylo,a066b730-3809-4b39-a091-2297d40b51db,spotify_correction,New ID: 5YjEVrNMrIRw2xGbjTN6Ti,2026-02-13T21:58:54.063105
2887,松原みき,994c1efe-ab1c-4b1f-a2b7-01758ef963b9,spotify_correction,New ID: 7eaB2kABl5quusVTOY0LFN,2026-02-13T22:01:06.178480
4328,Giselle,f77eb67e-fc43-4d1a-bf27-f64bfe763a5a,spotify_correction,New ID: 5cxol8ruhBU1QpUick7A42,2026-02-13T22:01:58.599744
3775,Verzache,be714b34-ba7d-48cc-bbb6-a191a8f10003,spotify_correction,New ID: 59KX7XUUgAOOo5IyDjca0T,2026-02-13T22:02:52.087498
3264,Driver,fefbecd0-0314-4af5-b9c8-a6893175fdf9,spotify_ignored,MB suggested zombie profile (Pop: 16 vs Current: 26),2026-02-13T22:02:58.776347
2878,KARA,3313f634-1405-481c-ada7-aef1980ac961,spotify_ignored,MB suggested zombie profile (Pop: 19 vs Current: 51),2026-02-13T22:03:04.272360
684,Flume,35fd8d42-b4a6-4414-9827-8766bd0daa3c,spotify_ignored,MB suggested zombie profile (Pop: 1 vs Current: 69),2026-02-13T22:03:50.230402
1637,cosMo@暴走P,eceb2a11-fa7e-496e-9adf-a540810d932b,spotify_correction,New ID: 2WV6qVVwDE37QGdpdVMtYM,2026-02-13T22:05:30.915709
2793,OMI,33e6ded6-22cc-447e-aefa-9a7a6ba81b6b,spotify_correction,New ID: 5MouCg6ta7zAxsfMEbc1uh,2026-02-13T22:05:48.084398
3413,Cold,d9a2f1e6-6429-41ce-9d32-9a66188fb39c,spotify_correction,New ID: 0Gw3a3BkWLwsMLFbOBmo6Q,2026-02-13T22:06:28.261460
2048,Kai Meyer,0ec0657f-860d-4cc6-996c-09ba76fffc76,spotify_ignored,MB suggested zombie profile (Pop: 10 vs Current: 57),2026-02-13T22:07:34.912087
3791,Petula Clark,40e69149-45a7-4dab-8128-c5a4d9654eeb,spotify_correction,New ID: 6nKqt1nbSBEq3iUXD1Xgz8,2026-02-13T22:07:40.606135
3023,Katie Melua,39e32995-6515-40b2-a6f0-841524047edc,spotify_correction,New ID: 5uCXJWo3WoXgqv3T1RlAbh,2026-02-13T22:07:53.869357
3752,Shlohmo,21a0e450-ae4d-473a-add4-744542ab9bf5,spotify_ignored,MB suggested zombie profile (Pop: 0 vs Current: 45),2026-02-13T22:08:03.848334
3326,Fun Fun,40e7db88-da65-46c6-909d-82e48a40da4d,spotify_ignored,MB suggested zombie profile (Pop: 41 vs Current: 67),2026-02-13T22:08:35.754587
683,Steve Lacy,ca9766a0-1c30-43e6-a213-bac1334efc4a,spotify_ignored,MB suggested zombie profile (Pop: 16 vs Current: 78),2026-02-13T22:10:03.702162
3089,Sitting Duck,cda24ef2-d960-4c4d-9c05-831c238859ca,spotify_ignored,MB suggested zombie profile (Pop: 0 vs Current: 32),2026-02-13T22:10:16.545740
1504,Kineorama,a26711fe-2cba-43d6-92ee-8d42f990c775,spotify_correction,New ID: 7MKEsFiZliPeroqAdwwaq8,2026-02-13T22:10:18.838233
1953,Jimin,d2582c77-6b0f-4b2f-802f-8f3cad1a5fec,spotify_correction,New ID: 1oSPZhvZMIrWW5I41kPkkY,2026-02-13T22:11:08.781173
1318,新しい学校のリーダーズ,12a43a61-e31a-4cac-92a6-c95ce9cdfe3c,spotify_correction,New ID: 0AHigF4jwyhAZhWGGWeN98,2026-02-13T22:11:45.529318
3138,azula,ec1335f2-6c43-4a4e-9cbd-4b2842c76632,spotify_correction,New ID: 1ExCrobB2mqThavegHEHeS,2026-02-13T22:12:22.232997
3795,Jessica,948a3efe-8928-485d-ad08-45e3df65247f,spotify_ignored,MB suggested zombie profile (Pop: 0 vs Current: 34),2026-02-13T22:13:02.481302
1751,xaev,59e6d016-1b24-4f95-a8d6-ab9191463faa,spotify_ignored,MB suggested zombie profile (Pop: 0 vs Current: 35),2026-02-13T22:14:08.889540
2903,lofi,b70a2363-a998-4e77-9873-edf59e062fe6,spotify_ignored,MB suggested zombie profile (Pop: 3 vs Current: 28),2026-02-13T22:14:51.879448
3627,Beowülf,19a55de5-7de2-4ee4-8142-ea4b519f3e58,spotify_ignored,MB suggested zombie profile (Pop: 5 vs Current: 43),2026-02-13T22:15:04.189439
2101,MARETU,cda1d655-a98c-42ae-8de3-a0a78000741e,spotify_ignored,MB suggested zombie profile (Pop: 40 vs Current: 62),2026-02-13T22:15:13.069286
3025,DREVM,0267a711-bc2e-4a45-a5fc-560c18188fcb,spotify_correction,New ID: 4pHeEHS66wGubk4WCJ5BZG,2026-02-13T22:15:59.244941
3754,Ta‐ku,81855cde-5030-42de-b1b3-f563dd01e623,spotify_ignored,MB suggested zombie profile (Pop: 43 vs Current: 68),2026-02-13T22:17:05.317252
2883,オメガトライブ,bdb97078-2cc7-40c1-a771-de1d51fbf971,spotify_ignored,MB suggested zombie profile (Pop: 42 vs Current: 45),2026-02-13T22:17:26.989100
2354,Ren,81250ee6-a008-4007-8cfd-dddc22176cac,spotify_correction,New ID: 0Repe2EiNjaFAFIukrroUM,2026-02-13T22:17:29.236550
2299,Archive,bd513de0-e42f-425e-ae46-817d7bc5fb1c,spotify_correction,New ID: 1Q776wzj2mrtXrNu3iH6nk,2026-02-13T22:17:52.695702
2076,高橋洋子,7004bc31-23ee-4216-8d74-0d230e88079f,spotify_ignored,MB suggested zombie profile (Pop: 1 vs Current: 54),2026-02-13T22:19:58.640426
2473,Teen Suicide,a63a5c27-aae4-40b3-86c7-527496bfeeb9,spotify_ignored,MB suggested zombie profile (Pop: 30 vs Current: 50),2026-02-13T22:20:47.423501
